Company,Period,Revenue,Net Income,Liabilities,Assets,Equity,ROA (%),ROE (%),Debt to Equity,percentage  Debt to Equity
Bayer AG,6/30/2017,8439918128,854234127.5,26356391355,61242421820,34886030465,139.484.054,2.448.642.382,755.499.866,"0,00%"
Deutsche Bank AG,6/30/2017,19544012256,2752792674,13706520368,55551723268,41845202900,4.955.368.641,6.578.514.343,327.552.967,"2008,38%"
Porsche AG,6/30/2017,11523447744,1069672005,31531931981,51328720570,19796788588,2.083.963.896,5.403.260.231,1.592.780.154,"339,23%"
Merck KGaA,6/30/2017,11003803134,1050945998,30579291828,50859030282,20279738454,2.066.390.162,5.182.246.312,1.507.874.073,"343,68%"
Volkswagen AG,6/30/2018,6601886883,674015397.4,48397997453,95156833814,46758836361,708.320.538,1.441.471.709,1.035.055.643,"0,00%"
Siemens AG,6/30/2018,11314535587,1340341283,33163887180,56794362553,23630475373,2.359.990.011,5.672.087.683,1.403.437.157,"404,16%"
Allianz SE,6/30/2018,11661846976,1354192659,23626577882,54731462963,31104885082,247.424.897,4.353.633.376,759.577.726,"573,16%"
BMW AG,6/30/2018,17315578796,1167741135,16852576890,50991540077,34138963187,2.290.068.378,342.055.243,493.646.418,"692,92%"
BASF SE,6/30/2018,11432373323,902833070.5,15796422658,55141147698,39344725041,1.637.312.802,2.294.673.732,401.487.687,"0,00%"
Deutsche Telekom AG,6/30/2018,10561657912,1025524147,18824834094,53785357297,34960523204,1.906.697.655,2.933.377.572,538.459.736,"544,77%"
Daimler AG,6/30/2018,18960217812,2711256442,20217118393,63441922522,43224804128,4.273.603.847,6.272.455.125,467.720.301,"1341,07%"
SAP SE,6/30/2018,5282345417,541864195.9,34968772981,55603015081,20634242100,974.523.045,2.626.043.609,1.694.696.263,"0,00%"
Bayer AG,6/30/2018,14443060707,1684483053,37340600075,64364816177,27024216101,2.617.086.715,6.233.235.581,138.174.591,"451,11%"
Deutsche Bank AG,6/30/2018,7788761208,663079894,30096796442,49497014532,19400218090,1.339.636.138,3.417.899.175,155.136.382,"220,32%"
Porsche AG,6/30/2018,9586227654,1382170553,40862854527,89907869527,49045015000,1.537.318.769,2.818.167.256,833.170.395,"338,25%"
Merck KGaA,6/30/2018,7868422908,477697388.2,36789908510,81877040048,45087131537,583.432.655,1.059.498.291,815.973.588,"0,00%"
Volkswagen AG,6/30/2019,8797334817,1311084923,25365853191,40151924792,14786071601,3.265.310.268,8.867.026.743,1.715.523.492,"516,87%"
Siemens AG,6/30/2019,6550073893,733627118.4,19919552350,37424903073,17505350723,1.960.264.578,4.190.873.579,1.137.912.211,"0,00%"
Allianz SE,6/30/2019,9612688482,1071424359,26052899280,55802879567,29749980287,1.920.016.257,3.601.428.805,875.728.287,"411,25%"
BMW AG,6/30/2019,13411319092,782523298.9,19531535755,37657712776,18126177021,2.077.989.451,4.317.089.577,1.077.531.999,"0,00%"
BASF SE,6/30/2019,11534207296,1513985001,19270767207,53405386175,34134618968,2.834.891.963,4.435.335.874,564.551.994,"785,64%"
Deutsche Telekom AG,6/30/2019,9246129285,1035650167,29184989731,52641709425,23456719694,1.967.356.642,4.415.153.442,124.420.593,"354,86%"
Daimler AG,6/30/2019,12504841895,639354361.8,41871491156,82039997300,40168506143,779.320.311,1.591.680.705,1.042.396.026,"0,00%"
SAP SE,6/30/2019,13878289168,932271478.5,29658734145,62964273740,33305539595,1.480.635.642,2.799.148.399,890.504.538,"0,00%"
Bayer AG,6/30/2019,13365845309,1437180604,30394456127,61175428677,30780972550,2.349.277.536,4.669.055.214,987.443.008,"472,84%"
Deutsche Bank AG,6/30/2019,9538166828,766520233.9,38799826104,70810004871,32010178767,1.082.502.727,2.394.614.037,121.210.901,"0,00%"
Porsche AG,6/30/2019,16367236342,1857704381,11368621660,21773242219,10404620558,8.532.052.149,1.785.460.959,109.265.125,"1634,06%"
Merck KGaA,6/30/2019,16209619277,1894725317,17305347324,45432894647,28127547323,4.170.382.124,673.619.102,615.245.514,"1094,88%"
Volkswagen AG,6/30/2020,7895384436,511149178.9,17592686846,61107816340,43515129494,836.471.027,1.174.647.036,404.288.969,"0,00%"
Siemens AG,6/30/2020,7571178877,527700192,14328955584,29444881442,15115925857,1.792.162.733,3.491.021.304,947.937.673,"368,28%"
Allianz SE,6/30/2020,13787621203,1605393739,33743352626,56826390011,23083037385,2.825.084.858,695.486.349,1.461.824.632,"475,77%"
BMW AG,6/30/2020,19909637251,2732548048,15058770523,36892503606,21833733082,7.406.783.982,125.152.581,689.702.053,"1814,59%"
BASF SE,6/30/2020,11914158554,1054111676,43298236595,83113769380,39815532785,1.268.275.622,2.647.488.561,1.087.470.983,"243,45%"
Deutsche Telekom AG,6/30/2020,16609605942,2209253956,40969123319,78858492215,37889368896,2.801.542.223,5.830.801.675,1.081.282.811,"539,25%"
Daimler AG,6/30/2020,14075946856,1786382228,42169052107,79023797685,36854745578,2.260.562.362,4.847.088.752,114.419.599,"423,62%"
SAP SE,6/30/2020,6413035553,941195826.2,19793091472,35210598357,15417506885,2.673.046.952,6.104.721.296,1.283.806.235,"0,00%"
Bayer AG,6/30/2020,12664152205,953498605.8,14551986231,38961279021,24409292791,2.447.298.009,3.906.293.451,596.165.827,"0,00%"
Deutsche Bank AG,6/30/2020,16087302422,1326310547,32589277601,54693171121,22103893521,2.425.002.097,6.000.348.063,1.474.368.195,"406,98%"
Porsche AG,6/30/2020,7764718758,920211365.8,34970670581,72558969348,37588298767,1.268.225.519,244.813.252,930.360.557,"0,00%"
Merck KGaA,6/30/2020,17048403140,1779998241,31894204894,69469086501,37574881608,2.562.288.251,4.737.202.528,848.817.176,"558,09%"
Volkswagen AG,6/30/2021,12858026662,1124878943,17059669622,65938237159,48878567538,1.705.958.471,2.301.374.609,349.021.473,"659,38%"
Siemens AG,6/30/2021,6387462404,911547751.1,43580496165,59758020643,16177524478,1.525.398.166,5.634.655.366,269.389.153,"0,00%"
Allianz SE,6/30/2021,17019949886,2402780363,10477167725,40916062724,30438894999,5.872.462.313,7.893.783.146,344.203.287,"2293,35%"
BMW AG,6/30/2021,12011483364,1571388192,16704351188,36319540470,19615189283,4.326.564.081,8.011.078.402,851.602.855,"940,71%"
BASF SE,6/30/2021,18768998808,1373518726,31667361119,58519002305,26851641187,2.347.132.848,5.115.213.316,117.934.546,"433,73%"
Deutsche Telekom AG,6/30/2021,5509568002,378951538.1,36585800973,54397521144,17811720171,696.633.836,2.127.540.375,2.054.029.629,"0,00%"
Daimler AG,6/30/2021,15648054896,1066739844,40442076671,75441053988,34998977318,1.414.004.428,3.047.917.184,1.155.521.669,"263,77%"
SAP SE,6/30/2021,11199189899,719949867.5,45007114334,92397807990,47390693656,779.185.008,1.519.179.847,949.703.641,"0,00%"
Bayer AG,6/30/2021,11712522838,1191464502,39707273398,77463236730,37755963332,1.538.103.173,3.155.698.855,1.051.682.169,"300,06%"
Deutsche Bank AG,6/30/2021,5220250485,460458002.1,44926554184,91889065168,46962510984,501.102.064,980.479.945,95.664.719,"0,00%"
Porsche AG,6/30/2021,12452147525,908357933.3,42131566815,76799130880,34667564065,1.182.771.111,2.620.195.442,1.215.302.198,"0,00%"
Merck KGaA,6/30/2021,14025754117,1636333354,16839994355,60072011589,43232017234,2.723.952.986,3.785.003.473,389.525.991,"971,69%"
Volkswagen AG,6/30/2022,12314464977,1478784803,25112871815,44050938495,18938066680,3.356.988.191,7.808.530.977,1.326.052.561,"588,86%"
Siemens AG,6/30/2022,17737880122,2592267899,23358323946,38107807520,14749483574,6.802.458.781,1.757.531.297,158.367.063,"1109,78%"
Allianz SE,6/30/2022,8089768870,488084935.3,45657380068,93604660446,47947280377,521.432.302,1.017.961.668,952.241.289,"0,00%"
BMW AG,6/30/2022,11584036388,1399147461,22546412228,53277235987,30730823758,2.626.163.755,455.291.232,73.367.419,"620,56%"
BASF SE,6/30/2022,11227593925,1221025867,27001572213,45570891422,18569319208,2.679.398.689,6.575.501.522,1.454.095.969,"452,21%"
Deutsche Telekom AG,6/30/2022,8444063288,1187007039,47810647914,69756044623,21945396709,1.701.654.739,5.408.911.286,217.861.853,"248,27%"
Daimler AG,6/30/2022,16579977460,877145067,30509379123,76296463396,45787084273,1.149.653.638,1.915.704.136,666.331.556,"287,50%"
SAP SE,6/30/2022,14799049316,1792143630,35425741218,52933352519,17507611301,3.385.660.542,1.023.636.862,2.023.448.008,"505,89%"
Bayer AG,6/30/2022,7918029220,810924591.5,42824962792,91140421051,48315458259,889.752.957,1.678.395.737,886.361.515,"0,00%"
Deutsche Bank AG,6/30/2022,13527313706,1369609294,47047722396,76309903159,29262180763,1.794.798.889,4.680.475.816,1.607.799.596,"291,11%"
Porsche AG,6/30/2022,9602996001,1224040111,42066934650,86789124292,44722189642,1.410.361.172,2.736.986.092,940.627.795,"290,97%"
Merck KGaA,6/30/2022,19175705351,1921123977,39424400695,70149764250,30725363554,2.738.603.611,6.252.567.113,128.312.235,"487,29%"
Volkswagen AG,6/30/2023,12729418594,1662688493,39022576433,81451183390,42428606957,2.041.331.291,3.918.791.148,919.723.254,"426,08%"
Siemens AG,6/30/2023,14327627383,1625286889,41679203694,52235242339,10556038645,3.111.475.732,1.539.675.009,3.948.375.437,"389,95%"
Allianz SE,6/30/2023,5318114486,431100966,42312531626,58725506361,16412974734,734.094.932,2.626.586.423,2.577.992.857,"101,88%"
BMW AG,6/30/2023,14368618381,1533626886,42361743521,64353154119,21991410599,2.383.141.754,6.973.754.044,1.926.285.871,"362,03%"
BASF SE,6/30/2023,14800185962,1295428284,11911955269,57692706612,45780751343,2.245.393.499,2.829.635.264,260.195.714,"1087,50%"
Deutsche Telekom AG,6/30/2023,10399408221,561732001.5,38426371195,68448568389,30022197194,820.662.893,1.871.055.599,127.993.201,"0,00%"
Daimler AG,6/30/2023,6677625789,440969634.7,45505367856,68668748604,23163380748,642.169.318,1.903.736.072,196.453.913,"0,00%"
SAP SE,6/30/2023,10806122549,698788622.5,46400326109,56419077430,10018751320,1.238.567.971,697.480.754,4.631.348.222,"0,00%"
Bayer AG,6/30/2023,10038837028,1319011419,42095419645,52756441711,10661022066,2.500.190.263,1.237.227.923,3.948.535.083,"313,34%"
Deutsche Bank AG,6/30/2023,7129233268,804182359.4,37136074738,74971932150,37835857412,107.264.457,2.125.450.338,981.504.776,"0,00%"
Porsche AG,6/30/2023,16477351074,1226392611,42857529033,61495517042,18637988008,1.994.279.698,6.580.069.753,2.299.471.864,"286,16%"
Merck KGaA,6/30/2023,9146296754,868361702.9,43413456694,56455610934,13042154240,1.538.131.797,6.658.115.576,3.328.702.904,"0,00%"
Volkswagen AG,6/30/2024,13076152982,1526410746,24545656357,68124372355,43578715998,2.240.623.573,3.502.651.951,563.248.728,"621,87%"
Siemens AG,6/30/2024,9018099865,963180373.7,36993263217,49531602468,12538339252,1.944.577.453,7.681.881.582,2.950.411.731,"0,00%"
Allianz SE,6/30/2024,13059939771,864826440.5,21561018412,57150274352,35589255939,1.513.249.849,2.430.021.133,605.829.424,"0,00%"
BMW AG,6/30/2024,17928146832,2182113657,12109060417,56333682316,44224621899,3.873.550.543,4.934.160.121,273.808.116,"1802,05%"
BASF SE,6/30/2024,11122911230,1144594204,29846781652,60313552592,30466770941,1.897.739.653,3.756.860.897,979.650.312,"383,49%"
Deutsche Telekom AG,6/30/2024,15923641671,1238976660,29108930053,40292182768,11183252715,3.074.980.245,1.107.885.775,2.602.903.716,"425,63%"
Daimler AG,6/30/2024,9897018704,888471372.7,33856303197,55117754937,21261451739,161.195.131,4.178.789.781,1.592.379.656,"0,00%"
SAP SE,6/30/2024,8144018454,529257365.4,31360696540,57876694077,26515997537,914.456.801,1.995.992.663,1.182.708.533,"0,00%"
Bayer AG,6/30/2024,7369565272,1064148244,20591206981,42904241960,22313034979,2.480.286.785,47.691.775,922.833.088,"516,80%"
Deutsche Bank AG,6/30/2024,9306050327,729847876.9,23854663266,48476616703,24621953437,1.505.566.862,2.964.215.974,968.837.153,"0,00%"
Porsche AG,6/30/2024,16413767338,1074145603,25161220888,52217608876,27056387988,2.057.056.282,3.970.025.873,929.954.911,"426,91%"
Merck KGaA,6/30/2024,16561793827,2435933937,19456844175,52664090849,33207246674,4.625.417.238,7.335.549.257,585.921.632,"1251,97%"
Volkswagen AG,9/30/2017,15706422457,2263166301,11556351337,26096752248,14540400911,8.672.214.379,1.556.467.607,794.775.289,"1958,37%"
Siemens AG,9/30/2017,5703877749,588622371.4,24982736979,39727077870,14744340891,1.481.665.411,3.992.191.823,1.694.394.966,"0,00%"
Allianz SE,9/30/2017,7168009253,373428560.2,15187122059,38651159578,23464037519,966.150.988,1.591.493.194,647.251.013,"0,00%"
BMW AG,9/30/2017,14824260103,1856672009,49769403556,87097998229,37328594673,213.170.457,4.973.859.919,1.333.278.255,"373,05%"
BASF SE,9/30/2017,9548006554,1237046329,27483087953,52090363015,24607275062,2.374.808.425,5.027.156.913,1.116.868.401,"450,11%"
Deutsche Telekom AG,9/30/2017,14110556301,1163491999,16591763093,32355610354,15763847262,3.595.951.325,7.380.761.688,1.052.519.909,"701,25%"
Daimler AG,9/30/2017,7323507123,793777927.1,27624534772,70422660411,42798125639,1.127.162.653,1.854.702.549,645.461.322,"0,00%"
SAP SE,9/30/2017,18227487487,1997618536,40486058249,55383211771,14897153522,3.606.902.655,1.340.939.753,2.717.704.304,"493,41%"
Bayer AG,9/30/2017,12670837136,1282915745,20339721000,55136777973,34797056973,2.326.787.657,3.686.851.292,584.524.174,"630,74%"
Deutsche Bank AG,9/30/2017,19868905162,1429630591,12720436994,42183197053,29462760059,3.389.099.666,4.852.330.833,431.746.278,"1123,88%"
Porsche AG,9/30/2017,9631040999,1113020766,22993549681,72046513305,49052963625,1.544.864.164,226.901.839,468.749.449,"484,06%"
Merck KGaA,9/30/2017,17552142118,1316005049,28846310799,40791728305,11945417506,3.226.156.634,110.168.192,2.414.843.247,"456,21%"
Volkswagen AG,9/30/2018,11494666314,1658196131,14924498356,62462464157,47537965801,2.654.708.156,3.488.151.213,313.949.032,"1111,06%"
Siemens AG,9/30/2018,12634974138,741274735,28126694879,40432233302,12305538423,1.833.375.687,6.023.911.425,2.285.693.962,"263,55%"
Allianz SE,9/30/2018,10545031789,1010594241,33534009371,63852779536,30318770165,1.582.694.204,3.333.229.664,1.106.047.811,"301,36%"
BMW AG,9/30/2018,5647276212,430192893.6,49486716701,66912699732,17425983031,642.916.659,2.468.686.517,2.839.823.533,"0,00%"
BASF SE,9/30/2018,19846387618,2884007106,11017913220,31498369926,20480456706,9.156.051.924,1.408.175.192,537.972.047,"2617,56%"
Deutsche Telekom AG,9/30/2018,10796012246,986280250.6,18030445293,66154405096,48123959803,1.490.876.154,2.049.457.806,374.666.702,"0,00%"
Daimler AG,9/30/2018,5152922484,599573691.4,24935989828,36383148668,11447158840,1.647.943.384,5.237.751.129,2.178.356.235,"0,00%"
SAP SE,9/30/2018,8133295785,750601103.2,12010781130,31029999758,19019218627,2.418.952.978,394.654.017,631.507.601,"0,00%"
Bayer AG,9/30/2018,8605806470,524552249.3,34919186753,46399878511,11480691758,1.130.503.497,4.568.995.147,3.041.557.729,"0,00%"
Deutsche Bank AG,9/30/2018,17771922214,1082288023,48317236409,88972406897,40655170488,1.216.431.095,2.662.116.553,1.188.464.735,"224,00%"
Porsche AG,9/30/2018,17963578177,2139702451,49106113898,95043652065,45937538167,2.251.283.915,4.657.851.806,1.068.975.741,"435,73%"
Merck KGaA,9/30/2018,17415152986,1617758811,46995232198,95054854077,48059621879,1.701.921.302,3.366.149.685,977.852.725,"344,24%"
Volkswagen AG,9/30/2019,10142417014,1306294910,21657205056,33344564963,11687359907,3.917.564.711,1.117.698.882,1.853.045.104,"603,17%"
Siemens AG,9/30/2019,16654538457,1322270205,29781715108,63506323345,33724608237,2.082.107.947,3.920.787.444,883.085.577,"443,99%"
Allianz SE,9/30/2019,13700664809,892851810.7,14820437742,51140549989,36320112247,174.587.839,2.458.284.833,408.050.439,"0,00%"
BMW AG,9/30/2019,8103350227,738019784.6,20380748219,31832927467,11452179248,2.318.416.317,6.444.361.101,1.779.639.296,"0,00%"
BASF SE,9/30/2019,7430177132,551583106,33765326378,50383426520,16618100141,1.094.770.928,3.319.170.671,2.031.840.348,"163,36%"
Deutsche Telekom AG,9/30/2019,11461718687,1380378045,27344331892,73302995160,45958663267,1.883.112.746,3.003.520.875,594.976.658,"504,81%"
Daimler AG,9/30/2019,9545803943,1253796606,34864875291,53486270610,18621395319,2.344.146.622,6.733.096.979,1.872.301.978,"359,62%"
SAP SE,9/30/2019,13973147193,1079900966,48121419304,75654119930,27532700626,1.427.418.583,3.922.248.606,174.779.147,"224,41%"
Bayer AG,9/30/2019,11417678713,984493632.9,43202192055,87180029468,43977837414,1.129.265.084,2.238.613.108,982.362.813,"0,00%"
Deutsche Bank AG,9/30/2019,6824564419,375695945.9,12634199326,28137106192,15502906866,1.335.233.067,242.339.033,814.956.797,"0,00%"
Porsche AG,9/30/2019,10956259576,738896491.2,30918840712,77968242093,47049401381,947.689.048,1.570.469.484,657.156.942,"0,00%"
Merck KGaA,9/30/2019,12097020632,1236164244,27900854055,42173393478,14272539423,2.931.147.205,8.661.137.359,1.954.862.637,"443,06%"
Volkswagen AG,9/30/2020,12436929028,1654939942,49496396884,90362459109,40866062225,1.831.446.331,4.049.668.237,1.211.185.864,"334,36%"
Siemens AG,9/30/2020,11686522494,980715243.5,33647832225,72644583109,38996750884,1.350.018.407,2.514.863.985,862.836.812,"0,00%"
Allianz SE,9/30/2020,18005946710,2292027552,30114206666,72398006770,42283800104,316.587.107,5.420.580.804,712.192.532,"761,11%"
BMW AG,9/30/2020,9482010377,803442750.4,46174948427,92567055368,46392106941,867.957.555,1.731.852.256,995.319.063,"0,00%"
BASF SE,9/30/2020,18130200876,2418330284,49603599758,91937242355,42333642596,2.630.414.207,5.712.549.489,1.171.730.017,"487,53%"
Deutsche Telekom AG,9/30/2020,15589999588,1310559971,40139408421,54633825763,14494417343,239.880.688,9.041.825.831,2.769.301.274,"326,50%"
Daimler AG,9/30/2020,17815073829,1375991001,34457237297,48064706274,13607468976,2.862.788.745,1.011.202.747,2.532.229.716,"399,33%"
SAP SE,9/30/2020,15986728775,2071404633,24329632573,49270478198,24940845625,4.204.149.643,8.305.270.255,975.493.491,"851,39%"
Bayer AG,9/30/2020,7778215290,1028179890,32630440063,51398528756,18768088693,2.000.407.238,5.478.340.957,1.738.612.844,"315,10%"
Deutsche Bank AG,9/30/2020,11268644278,1309520126,44147215219,66843792777,22696577557,1.959.075.139,5.769.681.015,1.945.104.503,"296,63%"
Porsche AG,9/30/2020,6912391322,945409918.5,38735572223,68605740345,29870168123,1.378.033.257,3.165.063.935,1.296.797.931,"0,00%"
Merck KGaA,9/30/2020,8081970522,678443942.4,46360819152,75700966235,29340147083,896.215.697,231.233.995,1.580.115.431,"0,00%"
Volkswagen AG,9/30/2021,10294096366,1404729444,27027656894,48359524775,21331867881,2.904.762.713,658.512.162,1.267.008.452,"519,74%"
Siemens AG,9/30/2021,19026792698,2073416725,23713313938,47556455590,23843141652,4.359.905.925,8.696.071.832,994.554.924,"874,37%"
Allianz SE,9/30/2021,11073630310,912822455.7,49692687138,70778247625,21085560486,1.289.693.495,4.329.135.364,2.356.716.444,"0,00%"
BMW AG,9/30/2021,14132310152,1250503703,34109472155,60179867780,26070395624,2.077.943.587,4.796.642.602,1.308.360.358,"366,61%"
BASF SE,9/30/2021,10808670566,658653438.1,37937729306,85517814001,47580084695,770.194.428,1.384.304.888,79.734.472,"0,00%"
Deutsche Telekom AG,9/30/2021,14468035363,1480956904,34748500389,83063430789,48314930400,178.292.287,3.065.215.849,71.920.833,"426,19%"
Daimler AG,9/30/2021,15893645982,2170220695,43221215972,62906987078,19685771106,3.449.888.154,1.102.431.133,2.195.556.158,"502,12%"
SAP SE,9/30/2021,9000667547,1079598533,20844606335,48683375624,27838769289,2.217.591.773,3.878.039.728,748.761.776,"517,93%"
Bayer AG,9/30/2021,13756386408,721617987.5,44559907041,88194004126,43634097086,818.216.606,1.653.793.789,102.121.758,"0,00%"
Deutsche Bank AG,9/30/2021,12533912164,782840180.3,42843256371,86694386780,43851130409,902.988.313,1.785.222.349,977.016.008,"0,00%"
Porsche AG,9/30/2021,7245971264,1033867668,43655777728,59462856760,15807079033,17.386.781,6.540.535.831,2.761.786.516,"236,82%"
Merck KGaA,9/30/2021,14686380695,2175890454,36499903384,85610397087,49110493703,2.541.619.392,4.430.601.873,743.220.046,"596,14%"
Volkswagen AG,9/30/2022,10260879440,889227522,10690275300,28159139854,17468864554,3.157.864.646,5.090.356.727,611.961.657,"831,81%"
Siemens AG,9/30/2022,12664949131,649372783.1,35555990358,69522102895,33966112537,934.052.274,1.911.825.448,1.046.807.765,"0,00%"
Allianz SE,9/30/2022,16931011156,2086994153,18754849198,52873275455,34118426257,3.947.162.597,6.116.912.125,549.698.543,"1112,78%"
BMW AG,9/30/2022,18782382394,1614997271,25317192992,38617124033,13299931041,418.207.547,1.214.289.959,1.903.558.215,"637,91%"
BASF SE,9/30/2022,8861717408,569761713.3,46662383110,69619249891,22956866781,8.183.968,2.481.879.251,2.032.611.138,"0,00%"
Deutsche Telekom AG,9/30/2022,14873007184,1613587509,33957807568,82298368793,48340561225,1.960.655.518,3.337.957.748,70.247.028,"475,17%"
Daimler AG,9/30/2022,18430272465,1278461027,44184049308,54843099546,10659050238,2.331.124.677,1.199.413.642,4.145.214.472,"289,35%"
SAP SE,9/30/2022,18713092617,1701020228,36355439326,47077977464,10722538138,3.613.197.338,1.586.396.995,3.390.562.837,"467,89%"
Bayer AG,9/30/2022,10642582906,1154447670,44364932131,75643621464,31278689333,1.526.166.579,3.690.844.131,1.418.375.676,"260,22%"
Deutsche Bank AG,9/30/2022,11924228778,1074208571,47986876748,85149075647,37162198900,1.261.562.223,2.890.594.752,1.291.281.952,"223,85%"
Porsche AG,9/30/2022,8621455856,1229669587,32376788972,47679877246,15303088274,2.579.011.647,803.543.419,2.115.702.948,"379,80%"
Merck KGaA,9/30/2022,7888146905,698353200.2,33355799273,53175544683,19819745411,131.329.769,3.523.522.556,1.682.958.009,"0,00%"
Volkswagen AG,9/30/2023,11664866018,1677667162,15998323030,33372541902,17374218871,5.027.088.338,965.607.245,92.080.819,"1048,65%"
Siemens AG,9/30/2023,10185412162,754846740.3,24373958388,59331553465,34957595076,1.272.251.772,2.159.321.139,69.724.357,"0,00%"
Allianz SE,9/30/2023,19814938566,1836312727,18499451286,30329911272,11830459986,6.054.461.257,1.552.190.472,1.563.713.609,"992,63%"
BMW AG,9/30/2023,12729885504,1804875257,10865997336,56007965536,45141968200,3.222.533.152,3.998.220.124,240.707.213,"1661,03%"
BASF SE,9/30/2023,8416753062,980336277,46036015495,95477772055,49441756560,1.026.769.117,1.982.810.372,931.116.099,"212,95%"
Deutsche Telekom AG,9/30/2023,5149849693,750613275.1,17312068995,55772071679,38460002684,1.345.858.693,1.951.672.446,450.131.768,"0,00%"
Daimler AG,9/30/2023,13104191262,1856279741,29165603027,45413408789,16247805762,4.087.514.659,1.142.480.264,1.795.048.726,"636,46%"
SAP SE,9/30/2023,17167661800,1338393789,26063953489,52362126677,26298173188,2.556.034.053,5.089.303.273,991.093.689,"513,50%"
Bayer AG,9/30/2023,9457609977,1131311165,40856047831,77252438398,36396390567,1.464.434.247,3.108.305.926,1.122.530.207,"276,90%"
Deutsche Bank AG,9/30/2023,17914537947,1449472284,20633879462,43019367872,22385488410,3.369.348.169,6.475.053.201,92.175.248,"702,47%"
Porsche AG,9/30/2023,12920254885,1147104411,35348848744,85266963912,49918115168,1.345.309.318,2.297.972.203,708.136.688,"324,51%"
Merck KGaA,9/30/2023,9297896247,1145109250,49354599469,67631473649,18276874181,1.693.160.283,6.265.345.152,2.700.385.141,"232,02%"
Volkswagen AG,9/30/2024,9752432683,970590418.5,31255665329,70790020629,39534355300,1.371.083.678,2.455.055.637,790.595.043,"0,00%"
Siemens AG,9/30/2024,11691964631,1345578064,24477801438,72482874961,48005073523,1.856.408.241,2.802.991.363,509.900.301,"549,71%"
Allianz SE,9/30/2024,16908879786,1197174003,48008203569,67570965703,19562762134,177.172.842,611.965.731,2.454.060.589,"249,37%"
BMW AG,9/30/2024,17989542164,2639441820,33643521649,69399402463,35755880815,3.803.263.035,7.381.839.743,940.922.748,"784,53%"
BASF SE,9/30/2024,16485330446,1727330520,41199120058,58775396940,17576276882,2.938.866.617,9.827.624.651,2.344.018.607,"419,26%"
Deutsche Telekom AG,9/30/2024,6531276814,872767531.7,15526905086,49404344791,33877439705,1.766.580.521,2.576.249.974,458.325.813,"0,00%"
Daimler AG,9/30/2024,14640665936,2101927829,10787737144,51913035226,41125298082,4.048.940.347,5.111.033.662,262.313.896,"1948,44%"
SAP SE,9/30/2024,10824151396,830279996.2,42369695133,72342104340,29972409208,114.771.336,2.770.147.673,1.413.623.271,"0,00%"
Bayer AG,9/30/2024,9332023907,746667545.1,23673143006,42677324477,19004181470,1.749.565.031,3.928.964.508,1.245.680.749,"0,00%"
Deutsche Bank AG,9/30/2024,18549946525,2323022170,49199711543,64461554635,15261843092,3.603.732.773,1.522.111.161,3.223.707.074,"472,16%"
Porsche AG,9/30/2024,15911174550,1241693861,36125130235,84583217359,48458087124,1.468.014.459,2.562.407.917,745.492.288,"343,72%"
Merck KGaA,9/30/2024,15036344926,1704097607,30603212259,59444780752,28841568494,2.866.690.036,5.908.477.575,1.061.080.026,"556,84%"
